combination_number,expert_1_order,expert_2_order,metrics
5584,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy28', 'entropy13', 'entropy29', 'entropy14', 'entropy30']","{'accuracy': 0.6892655491828918, 'precision': 0.7088607549667358, 'recall': np.float64(0.6363636363636364), 'specificity': 0.7415730357170105, 'f1': 0.6706587076187134, 'auroc': 0.7139939069747925}"
5585,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy28', 'entropy13', 'entropy14', 'entropy30', 'entropy29']","{'accuracy': 0.700564980506897, 'precision': 0.7108433842658997, 'recall': np.float64(0.6704545454545454), 'specificity': 0.7303370833396912, 'f1': 0.6900584697723389, 'auroc': 0.719994843006134}"
5586,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy28', 'entropy13', 'entropy14', 'entropy29', 'entropy30']","{'accuracy': 0.694915235042572, 'precision': 0.7361111044883728, 'recall': np.float64(0.6022727272727273), 'specificity': 0.7865168452262878, 'f1': 0.6625000238418579, 'auroc': 0.7082482576370239}"
5587,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy28', 'entropy14', 'entropy30', 'entropy29', 'entropy13']","{'accuracy': 0.6666666865348816, 'precision': 0.7101449370384216, 'recall': np.float64(0.5568181818181818), 'specificity': 0.7752808928489685, 'f1': 0.6242038011550903, 'auroc': 0.7070991396903992}"
5588,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy28', 'entropy14', 'entropy30', 'entropy13', 'entropy29']","{'accuracy': 0.6723163723945618, 'precision': 0.720588207244873, 'recall': np.float64(0.5568181818181818), 'specificity': 0.7865168452262878, 'f1': 0.6282051205635071, 'auroc': 0.7093973755836487}"
5589,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy28', 'entropy14', 'entropy29', 'entropy30', 'entropy13']","{'accuracy': 0.6892655491828918, 'precision': 0.7260273694992065, 'recall': np.float64(0.6022727272727273), 'specificity': 0.7752808928489685, 'f1': 0.6583850979804993, 'auroc': 0.6931817531585693}"
5590,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy28', 'entropy14', 'entropy29', 'entropy13', 'entropy30']","{'accuracy': 0.700564980506897, 'precision': 0.7536231875419617, 'recall': np.float64(0.5909090909090909), 'specificity': 0.8089887499809265, 'f1': 0.662420392036438, 'auroc': 0.7196118831634521}"
5591,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy28', 'entropy14', 'entropy13', 'entropy30', 'entropy29']","{'accuracy': 0.7062146663665771, 'precision': 0.7142857313156128, 'recall': np.float64(0.6818181818181818), 'specificity': 0.7303370833396912, 'f1': 0.6976743936538696, 'auroc': 0.7302093505859375}"
5592,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy28', 'entropy14', 'entropy13', 'entropy29', 'entropy30']","{'accuracy': 0.694915235042572, 'precision': 0.7179487347602844, 'recall': np.float64(0.6363636363636364), 'specificity': 0.7528089880943298, 'f1': 0.6746987700462341, 'auroc': 0.718845784664154}"
5593,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy30', 'entropy29', 'entropy28', 'entropy14']","{'accuracy': 0.6892655491828918, 'precision': 0.6666666865348816, 'recall': np.float64(0.75), 'specificity': 0.6292135119438171, 'f1': 0.7058823704719543, 'auroc': 0.7371041774749756}"
5594,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy30', 'entropy29', 'entropy14', 'entropy28']","{'accuracy': 0.6779661178588867, 'precision': 0.6631578803062439, 'recall': np.float64(0.7159090909090909), 'specificity': 0.6404494643211365, 'f1': 0.688524603843689, 'auroc': 0.7219101190567017}"
5595,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy30', 'entropy28', 'entropy29', 'entropy14']","{'accuracy': 0.694915235042572, 'precision': 0.707317054271698, 'recall': np.float64(0.6590909090909091), 'specificity': 0.7303370833396912, 'f1': 0.6823529601097107, 'auroc': 0.7296987175941467}"
5596,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy30', 'entropy28', 'entropy14', 'entropy29']","{'accuracy': 0.6666666865348816, 'precision': 0.6593406796455383, 'recall': np.float64(0.6818181818181818), 'specificity': 0.6516854166984558, 'f1': 0.6703910827636719, 'auroc': 0.7035239934921265}"
5597,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy30', 'entropy14', 'entropy29', 'entropy28']","{'accuracy': 0.6723163723945618, 'precision': 0.6630434989929199, 'recall': np.float64(0.6931818181818182), 'specificity': 0.6516854166984558, 'f1': 0.6777777671813965, 'auroc': 0.7377426028251648}"
5598,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy30', 'entropy14', 'entropy28', 'entropy29']","{'accuracy': 0.6779661178588867, 'precision': 0.6867470145225525, 'recall': np.float64(0.6477272727272727), 'specificity': 0.7078651785850525, 'f1': 0.6666666865348816, 'auroc': 0.7175689935684204}"
5599,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy29', 'entropy30', 'entropy28', 'entropy14']","{'accuracy': 0.694915235042572, 'precision': 0.6931818127632141, 'recall': np.float64(0.6931818181818182), 'specificity': 0.6966292262077332, 'f1': 0.6931818127632141, 'auroc': 0.7118232846260071}"
5600,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy29', 'entropy30', 'entropy14', 'entropy28']","{'accuracy': 0.6384180784225464, 'precision': 0.6333333253860474, 'recall': np.float64(0.6477272727272727), 'specificity': 0.6292135119438171, 'f1': 0.6404494643211365, 'auroc': 0.6879469156265259}"
5601,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy29', 'entropy28', 'entropy30', 'entropy14']","{'accuracy': 0.7118644118309021, 'precision': 0.6907216310501099, 'recall': np.float64(0.7613636363636364), 'specificity': 0.6629213690757751, 'f1': 0.7243243455886841, 'auroc': 0.7336568236351013}"
5602,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy29', 'entropy28', 'entropy14', 'entropy30']","{'accuracy': 0.6610169410705566, 'precision': 0.6590909361839294, 'recall': np.float64(0.6590909090909091), 'specificity': 0.6629213690757751, 'f1': 0.6590909361839294, 'auroc': 0.6986721158027649}"
5603,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy29', 'entropy14', 'entropy30', 'entropy28']","{'accuracy': 0.6836158037185669, 'precision': 0.6951219439506531, 'recall': np.float64(0.6477272727272727), 'specificity': 0.7191011309623718, 'f1': 0.6705882549285889, 'auroc': 0.7173135876655579}"
5604,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy29', 'entropy14', 'entropy28', 'entropy30']","{'accuracy': 0.6836158037185669, 'precision': 0.6951219439506531, 'recall': np.float64(0.6477272727272727), 'specificity': 0.7191011309623718, 'f1': 0.6705882549285889, 'auroc': 0.7069714069366455}"
5605,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy28', 'entropy30', 'entropy29', 'entropy14']","{'accuracy': 0.6610169410705566, 'precision': 0.6794871687889099, 'recall': np.float64(0.6022727272727273), 'specificity': 0.7191011309623718, 'f1': 0.6385542154312134, 'auroc': 0.6876915693283081}"
5606,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy28', 'entropy30', 'entropy14', 'entropy29']","{'accuracy': 0.6836158037185669, 'precision': 0.699999988079071, 'recall': np.float64(0.6363636363636364), 'specificity': 0.7303370833396912, 'f1': 0.6666666865348816, 'auroc': 0.7127169966697693}"
5607,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy28', 'entropy29', 'entropy30', 'entropy14']","{'accuracy': 0.6836158037185669, 'precision': 0.6904761791229248, 'recall': np.float64(0.6590909090909091), 'specificity': 0.7078651785850525, 'f1': 0.6744186282157898, 'auroc': 0.7271450161933899}"
5608,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy28', 'entropy29', 'entropy14', 'entropy30']","{'accuracy': 0.6723163723945618, 'precision': 0.6829268336296082, 'recall': np.float64(0.6363636363636364), 'specificity': 0.7078651785850525, 'f1': 0.658823549747467, 'auroc': 0.7159091234207153}"
5609,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy28', 'entropy14', 'entropy30', 'entropy29']","{'accuracy': 0.6892655491828918, 'precision': 0.6896551847457886, 'recall': np.float64(0.6818181818181818), 'specificity': 0.6966292262077332, 'f1': 0.6857143044471741, 'auroc': 0.7267619967460632}"
5610,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy28', 'entropy14', 'entropy29', 'entropy30']","{'accuracy': 0.6666666865348816, 'precision': 0.6746987700462341, 'recall': np.float64(0.6363636363636364), 'specificity': 0.6966292262077332, 'f1': 0.6549707651138306, 'auroc': 0.699438214302063}"
5611,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy14', 'entropy30', 'entropy29', 'entropy28']","{'accuracy': 0.6892655491828918, 'precision': 0.6941176652908325, 'recall': np.float64(0.6704545454545454), 'specificity': 0.7078651785850525, 'f1': 0.6820809245109558, 'auroc': 0.7141214609146118}"
5612,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy14', 'entropy30', 'entropy28', 'entropy29']","{'accuracy': 0.700564980506897, 'precision': 0.6842105388641357, 'recall': np.float64(0.7386363636363636), 'specificity': 0.6629213690757751, 'f1': 0.7103825211524963, 'auroc': 0.7390193939208984}"
5613,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy14', 'entropy29', 'entropy30', 'entropy28']","{'accuracy': 0.6892655491828918, 'precision': 0.7037037014961243, 'recall': np.float64(0.6477272727272727), 'specificity': 0.7303370833396912, 'f1': 0.6745561957359314, 'auroc': 0.7111849188804626}"
5614,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy14', 'entropy29', 'entropy28', 'entropy30']","{'accuracy': 0.6892655491828918, 'precision': 0.6987951993942261, 'recall': np.float64(0.6590909090909091), 'specificity': 0.7191011309623718, 'f1': 0.6783625483512878, 'auroc': 0.7373595833778381}"
5615,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy14', 'entropy28', 'entropy30', 'entropy29']","{'accuracy': 0.6666666865348816, 'precision': 0.6494845151901245, 'recall': np.float64(0.7159090909090909), 'specificity': 0.617977499961853, 'f1': 0.6810810565948486, 'auroc': 0.7356996536254883}"
5616,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy13', 'entropy14', 'entropy28', 'entropy29', 'entropy30']","{'accuracy': 0.6723163723945618, 'precision': 0.6875, 'recall': np.float64(0.625), 'specificity': 0.7191011309623718, 'f1': 0.6547619104385376, 'auroc': 0.7058222889900208}"
5617,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy30', 'entropy29', 'entropy28', 'entropy13']","{'accuracy': 0.6723163723945618, 'precision': 0.6744186282157898, 'recall': np.float64(0.6590909090909091), 'specificity': 0.6853932738304138, 'f1': 0.6666666865348816, 'auroc': 0.7085036039352417}"
5618,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy30', 'entropy29', 'entropy13', 'entropy28']","{'accuracy': 0.6836158037185669, 'precision': 0.7105262875556946, 'recall': np.float64(0.6136363636363636), 'specificity': 0.7528089880943298, 'f1': 0.6585366129875183, 'auroc': 0.7044177651405334}"
5619,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy30', 'entropy28', 'entropy29', 'entropy13']","{'accuracy': 0.6723163723945618, 'precision': 0.6744186282157898, 'recall': np.float64(0.6590909090909091), 'specificity': 0.6853932738304138, 'f1': 0.6666666865348816, 'auroc': 0.7090142965316772}"
5620,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy30', 'entropy28', 'entropy13', 'entropy29']","{'accuracy': 0.6666666865348816, 'precision': 0.6526315808296204, 'recall': np.float64(0.7045454545454546), 'specificity': 0.6292135119438171, 'f1': 0.6775956153869629, 'auroc': 0.7148876190185547}"
5621,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy30', 'entropy13', 'entropy29', 'entropy28']","{'accuracy': 0.700564980506897, 'precision': 0.6842105388641357, 'recall': np.float64(0.7386363636363636), 'specificity': 0.6629213690757751, 'f1': 0.7103825211524963, 'auroc': 0.7322523593902588}"
5622,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy30', 'entropy13', 'entropy28', 'entropy29']","{'accuracy': 0.7118644118309021, 'precision': 0.6907216310501099, 'recall': np.float64(0.7613636363636364), 'specificity': 0.6629213690757751, 'f1': 0.7243243455886841, 'auroc': 0.7454034686088562}"
5623,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy29', 'entropy30', 'entropy28', 'entropy13']","{'accuracy': 0.6779661178588867, 'precision': 0.6913580298423767, 'recall': np.float64(0.6363636363636364), 'specificity': 0.7191011309623718, 'f1': 0.6627218723297119, 'auroc': 0.7040347456932068}"
5624,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy29', 'entropy30', 'entropy13', 'entropy28']","{'accuracy': 0.6892655491828918, 'precision': 0.6987951993942261, 'recall': np.float64(0.6590909090909091), 'specificity': 0.7191011309623718, 'f1': 0.6783625483512878, 'auroc': 0.6981613636016846}"
5625,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy29', 'entropy28', 'entropy30', 'entropy13']","{'accuracy': 0.6779661178588867, 'precision': 0.6741573214530945, 'recall': np.float64(0.6818181818181818), 'specificity': 0.6741573214530945, 'f1': 0.6779661178588867, 'auroc': 0.6989274621009827}"
5626,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy29', 'entropy28', 'entropy13', 'entropy30']","{'accuracy': 0.694915235042572, 'precision': 0.7124999761581421, 'recall': np.float64(0.6477272727272727), 'specificity': 0.7415730357170105, 'f1': 0.6785714030265808, 'auroc': 0.6949694156646729}"
5627,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy29', 'entropy13', 'entropy30', 'entropy28']","{'accuracy': 0.7118644118309021, 'precision': 0.7078651785850525, 'recall': np.float64(0.7159090909090909), 'specificity': 0.7078651785850525, 'f1': 0.7118644118309021, 'auroc': 0.7179520130157471}"
5628,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy29', 'entropy13', 'entropy28', 'entropy30']","{'accuracy': 0.6779661178588867, 'precision': 0.6597937941551208, 'recall': np.float64(0.7272727272727273), 'specificity': 0.6292135119438171, 'f1': 0.6918919086456299, 'auroc': 0.7188457250595093}"
5629,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy28', 'entropy30', 'entropy29', 'entropy13']","{'accuracy': 0.7062146663665771, 'precision': 0.7195122241973877, 'recall': np.float64(0.6704545454545454), 'specificity': 0.7415730357170105, 'f1': 0.6941176652908325, 'auroc': 0.7118233442306519}"
5630,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy28', 'entropy30', 'entropy13', 'entropy29']","{'accuracy': 0.694915235042572, 'precision': 0.7236841917037964, 'recall': np.float64(0.625), 'specificity': 0.7640449404716492, 'f1': 0.6707317233085632, 'auroc': 0.7093973159790039}"
5631,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy28', 'entropy29', 'entropy30', 'entropy13']","{'accuracy': 0.6892655491828918, 'precision': 0.6941176652908325, 'recall': np.float64(0.6704545454545454), 'specificity': 0.7078651785850525, 'f1': 0.6820809245109558, 'auroc': 0.6836057305335999}"
5632,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy28', 'entropy29', 'entropy13', 'entropy30']","{'accuracy': 0.694915235042572, 'precision': 0.7236841917037964, 'recall': np.float64(0.625), 'specificity': 0.7640449404716492, 'f1': 0.6707317233085632, 'auroc': 0.6987997889518738}"
5633,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy28', 'entropy13', 'entropy30', 'entropy29']","{'accuracy': 0.6836158037185669, 'precision': 0.6860465407371521, 'recall': np.float64(0.6704545454545454), 'specificity': 0.6966292262077332, 'f1': 0.6781609058380127, 'auroc': 0.7239530086517334}"
5634,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy28', 'entropy13', 'entropy29', 'entropy30']","{'accuracy': 0.700564980506897, 'precision': 0.7160493731498718, 'recall': np.float64(0.6590909090909091), 'specificity': 0.7415730357170105, 'f1': 0.6863905191421509, 'auroc': 0.7155260443687439}"
5635,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy13', 'entropy30', 'entropy29', 'entropy28']","{'accuracy': 0.6723163723945618, 'precision': 0.6875, 'recall': np.float64(0.625), 'specificity': 0.7191011309623718, 'f1': 0.6547619104385376, 'auroc': 0.684627115726471}"
5636,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy13', 'entropy30', 'entropy28', 'entropy29']","{'accuracy': 0.6836158037185669, 'precision': 0.6739130616188049, 'recall': np.float64(0.7045454545454546), 'specificity': 0.6629213690757751, 'f1': 0.6888889074325562, 'auroc': 0.7222931385040283}"
5637,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy13', 'entropy29', 'entropy30', 'entropy28']","{'accuracy': 0.6836158037185669, 'precision': 0.6904761791229248, 'recall': np.float64(0.6590909090909091), 'specificity': 0.7078651785850525, 'f1': 0.6744186282157898, 'auroc': 0.7008427381515503}"
5638,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy13', 'entropy29', 'entropy28', 'entropy30']","{'accuracy': 0.6610169410705566, 'precision': 0.6627907156944275, 'recall': np.float64(0.6477272727272727), 'specificity': 0.6741573214530945, 'f1': 0.6551724076271057, 'auroc': 0.6952247023582458}"
5639,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy13', 'entropy28', 'entropy30', 'entropy29']","{'accuracy': 0.6779661178588867, 'precision': 0.6703296899795532, 'recall': np.float64(0.6931818181818182), 'specificity': 0.6629213690757751, 'f1': 0.6815642714500427, 'auroc': 0.7166752219200134}"
5640,"['manu_37', '40', '29', 'Sum', '28', '13', '14']","['entropy14', 'entropy13', 'entropy28', 'entropy29', 'entropy30']","{'accuracy': 0.6836158037185669, 'precision': 0.7285714149475098, 'recall': np.float64(0.5795454545454546), 'specificity': 0.7865168452262878, 'f1': 0.6455696225166321, 'auroc': 0.6816904544830322}"
5641,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy29', 'entropy28', 'entropy13', 'entropy14']","{'accuracy': 0.6892655491828918, 'precision': 0.7323943376541138, 'recall': np.float64(0.5909090909090909), 'specificity': 0.7865168452262878, 'f1': 0.6540880799293518, 'auroc': 0.7350612878799438}"
5642,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy29', 'entropy28', 'entropy14', 'entropy13']","{'accuracy': 0.6610169410705566, 'precision': 0.675000011920929, 'recall': np.float64(0.6136363636363636), 'specificity': 0.7078651785850525, 'f1': 0.6428571343421936, 'auroc': 0.7243360280990601}"
5643,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy29', 'entropy13', 'entropy28', 'entropy14']","{'accuracy': 0.694915235042572, 'precision': 0.7124999761581421, 'recall': np.float64(0.6477272727272727), 'specificity': 0.7415730357170105, 'f1': 0.6785714030265808, 'auroc': 0.7351890206336975}"
5644,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy29', 'entropy13', 'entropy14', 'entropy28']","{'accuracy': 0.6779661178588867, 'precision': 0.6913580298423767, 'recall': np.float64(0.6363636363636364), 'specificity': 0.7191011309623718, 'f1': 0.6627218723297119, 'auroc': 0.747318685054779}"
5645,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy29', 'entropy14', 'entropy28', 'entropy13']","{'accuracy': 0.7118644118309021, 'precision': 0.7605633735656738, 'recall': np.float64(0.6136363636363636), 'specificity': 0.8089887499809265, 'f1': 0.6792452931404114, 'auroc': 0.751787543296814}"
5646,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy29', 'entropy14', 'entropy13', 'entropy28']","{'accuracy': 0.6892655491828918, 'precision': 0.7260273694992065, 'recall': np.float64(0.6022727272727273), 'specificity': 0.7752808928489685, 'f1': 0.6583850979804993, 'auroc': 0.7582992911338806}"
5647,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy28', 'entropy29', 'entropy13', 'entropy14']","{'accuracy': 0.6666666865348816, 'precision': 0.7457627058029175, 'recall': np.float64(0.5), 'specificity': 0.8314606547355652, 'f1': 0.5986394286155701, 'auroc': 0.759831428527832}"
5648,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy28', 'entropy29', 'entropy14', 'entropy13']","{'accuracy': 0.7118644118309021, 'precision': 0.7283950448036194, 'recall': np.float64(0.6704545454545454), 'specificity': 0.7528089880943298, 'f1': 0.6982248425483704, 'auroc': 0.7543412446975708}"
5649,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy28', 'entropy13', 'entropy29', 'entropy14']","{'accuracy': 0.700564980506897, 'precision': 0.7058823704719543, 'recall': np.float64(0.6818181818181818), 'specificity': 0.7191011309623718, 'f1': 0.6936416029930115, 'auroc': 0.7475740313529968}"
5650,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy28', 'entropy13', 'entropy14', 'entropy29']","{'accuracy': 0.700564980506897, 'precision': 0.7160493731498718, 'recall': np.float64(0.6590909090909091), 'specificity': 0.7415730357170105, 'f1': 0.6863905191421509, 'auroc': 0.7514045238494873}"
5651,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy28', 'entropy14', 'entropy29', 'entropy13']","{'accuracy': 0.6836158037185669, 'precision': 0.7051281929016113, 'recall': np.float64(0.625), 'specificity': 0.7415730357170105, 'f1': 0.6626505851745605, 'auroc': 0.7497445940971375}"
5652,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy28', 'entropy14', 'entropy13', 'entropy29']","{'accuracy': 0.6723163723945618, 'precision': 0.7142857313156128, 'recall': np.float64(0.5681818181818182), 'specificity': 0.7752808928489685, 'f1': 0.6329113841056824, 'auroc': 0.7660878300666809}"
5653,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy13', 'entropy29', 'entropy28', 'entropy14']","{'accuracy': 0.694915235042572, 'precision': 0.7361111044883728, 'recall': np.float64(0.6022727272727273), 'specificity': 0.7865168452262878, 'f1': 0.6625000238418579, 'auroc': 0.7381256818771362}"
5654,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy13', 'entropy29', 'entropy14', 'entropy28']","{'accuracy': 0.694915235042572, 'precision': 0.7236841917037964, 'recall': np.float64(0.625), 'specificity': 0.7640449404716492, 'f1': 0.6707317233085632, 'auroc': 0.7506383657455444}"
5655,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy13', 'entropy28', 'entropy29', 'entropy14']","{'accuracy': 0.6723163723945618, 'precision': 0.7419354915618896, 'recall': np.float64(0.5227272727272727), 'specificity': 0.8202247023582458, 'f1': 0.6133333444595337, 'auroc': 0.7409345507621765}"
5656,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy13', 'entropy28', 'entropy14', 'entropy29']","{'accuracy': 0.700564980506897, 'precision': 0.7333333492279053, 'recall': np.float64(0.625), 'specificity': 0.7752808928489685, 'f1': 0.6748466491699219, 'auroc': 0.7457865476608276}"
5657,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy13', 'entropy14', 'entropy29', 'entropy28']","{'accuracy': 0.700564980506897, 'precision': 0.7058823704719543, 'recall': np.float64(0.6818181818181818), 'specificity': 0.7191011309623718, 'f1': 0.6936416029930115, 'auroc': 0.760725200176239}"
5658,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy13', 'entropy14', 'entropy28', 'entropy29']","{'accuracy': 0.6836158037185669, 'precision': 0.7352941036224365, 'recall': np.float64(0.5681818181818182), 'specificity': 0.7977527976036072, 'f1': 0.6410256624221802, 'auroc': 0.7706843614578247}"
5659,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy14', 'entropy29', 'entropy28', 'entropy13']","{'accuracy': 0.700564980506897, 'precision': 0.7611940503120422, 'recall': np.float64(0.5795454545454546), 'specificity': 0.8202247023582458, 'f1': 0.6580645442008972, 'auroc': 0.7488508224487305}"
5660,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy14', 'entropy29', 'entropy13', 'entropy28']","{'accuracy': 0.6497175097465515, 'precision': 0.7407407164573669, 'recall': np.float64(0.45454545454545453), 'specificity': 0.8426966071128845, 'f1': 0.5633803009986877, 'auroc': 0.7413176894187927}"
5661,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy14', 'entropy28', 'entropy29', 'entropy13']","{'accuracy': 0.6723163723945618, 'precision': 0.692307710647583, 'recall': np.float64(0.6136363636363636), 'specificity': 0.7303370833396912, 'f1': 0.650602400302887, 'auroc': 0.7337844371795654}"
5662,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy14', 'entropy28', 'entropy13', 'entropy29']","{'accuracy': 0.6836158037185669, 'precision': 0.7285714149475098, 'recall': np.float64(0.5795454545454546), 'specificity': 0.7865168452262878, 'f1': 0.6455696225166321, 'auroc': 0.7568947672843933}"
5663,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy14', 'entropy13', 'entropy29', 'entropy28']","{'accuracy': 0.694915235042572, 'precision': 0.7124999761581421, 'recall': np.float64(0.6477272727272727), 'specificity': 0.7415730357170105, 'f1': 0.6785714030265808, 'auroc': 0.7535750269889832}"
5664,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy30', 'entropy14', 'entropy13', 'entropy28', 'entropy29']","{'accuracy': 0.6610169410705566, 'precision': 0.6842105388641357, 'recall': np.float64(0.5909090909090909), 'specificity': 0.7303370833396912, 'f1': 0.6341463327407837, 'auroc': 0.7533197402954102}"
5665,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy29', 'entropy30', 'entropy28', 'entropy13', 'entropy14']","{'accuracy': 0.6836158037185669, 'precision': 0.7162162065505981, 'recall': np.float64(0.6022727272727273), 'specificity': 0.7640449404716492, 'f1': 0.654321014881134, 'auroc': 0.7437436580657959}"
5666,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy29', 'entropy30', 'entropy28', 'entropy14', 'entropy13']","{'accuracy': 0.6666666865348816, 'precision': 0.6746987700462341, 'recall': np.float64(0.6363636363636364), 'specificity': 0.6966292262077332, 'f1': 0.6549707651138306, 'auroc': 0.7512768507003784}"
5667,"['manu_37', '40', '29', 'Sum', '28', '14', '13']","['entropy29', 'entropy30', 'entropy13', 'entropy28', 'entropy14']","{'accuracy': 0.6892655491828918, 'precision': 0.7538461685180664, 'recall': np.float64(0.5568181818181818), 'specificity': 0.8202247023582458, 'f1': 0.6405228972434998, 'auroc': 0.7369765639305115}"
